,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speeds
0,punta arenas,90,CL,1592511444,80,-53.15,-70.92,41.00,12.75
1,kodiak,90,US,1592511445,87,57.79,-152.41,50.00,10.29
2,muros,0,ES,1592511445,69,42.78,-9.06,63.00,5.01
3,mogzon,1,RU,1592511445,64,51.74,111.96,45.54,1.12
4,lebu,100,CL,1592511446,91,-37.62,-73.65,54.95,20.65
5,kruisfontein,0,ZA,1592511446,43,-34.0,24.73,57.79,6.78
6,andornaktalya,98,HU,1592511446,93,47.85,20.42,62.13,5.35
7,mataura,0,NZ,1592511447,83,-46.19,168.86,39.00,3.00
8,bethel,40,US,1592511415,57,41.37,-73.41,79.00,11.41
9,bluff,0,NZ,1592511447,83,-46.6,168.33,39.00,3.00
10,nome,1,US,1592511374,67,64.5,-165.41,59.00,11.41
11,kyzyl-suu,100,KG,1592511448,71,42.34,78.0,50.18,1.30
12,le port,90,RE,1592511448,64,-20.94,55.29,71.60,17.22
13,tevriz,87,RU,1592511448,71,57.51,72.4,44.33,7.70
14,busselton,51,AU,1592511344,98,-33.65,115.33,41.00,3.42
15,rikitea,100,PF,1592511449,85,-23.12,-134.97,76.01,16.24
16,zhangye,89,CN,1592511449,24,38.93,100.45,72.05,2.21
17,port alfred,0,ZA,1592511449,78,-33.59,26.89,57.99,7.00
18,klaksvik,100,FO,1592511449,100,62.23,-6.59,48.20,4.70
19,ushtobe,0,KZ,1592511449,32,45.25,77.98,62.56,7.70
20,thinadhoo,90,MV,1592511450,73,0.53,72.93,84.04,3.80
21,okakarara,0,NA,1592511450,51,-20.58,17.43,50.02,7.25
22,goure,63,NE,1592511450,30,13.98,10.27,96.01,1.01
23,barrow,1,US,1592511421,70,71.29,-156.79,46.40,8.05
24,butaritari,98,KI,1592511420,60,3.07,172.79,83.17,2.26
25,arraial do cabo,10,BR,1592511429,64,-22.97,-42.03,75.20,16.11
26,hofn,0,IS,1592511451,84,64.25,-15.21,49.01,3.33
27,akyab,100,MM,1592511451,83,20.15,92.9,82.09,8.21
28,carnarvon,0,AU,1592511451,72,-24.87,113.63,59.00,11.41
29,puerto ayora,50,EC,1592511452,51,-0.74,-90.35,84.20,9.17
30,avarua,61,CK,1592511452,69,-21.21,-159.78,73.40,10.29
31,hobart,100,AU,1592511203,100,-42.88,147.33,39.00,4.70
32,atuona,13,PF,1592511308,76,-9.8,-139.03,80.06,12.37
